strain_id,species,n_cu,slope_logchroma_per_mM,intercept_logchroma,r2,environment,origin
95.0,Rhodotorula mucilaginosa,28,-0.013302153498155165,2.417153156051396,0.10075684460638527,marsh_tidalflat,China
96.0,Rhodotorula toruloides,24,-0.043541837112058425,2.2736970364779134,0.30631854594696534,marsh_tidalflat,China
97.0,Rhodotorula mucilaginosa,28,-0.021329056284837233,2.5198015288317905,0.5860546176233892,marsh_tidalflat,China
98.0,Rhodotorula mucilaginosa,28,-0.023285231953166226,2.6507492041700353,0.4576287424186905,marsh_tidalflat,China
99.0,Rhodotorula mucilaginosa,28,-0.010567563628763578,2.5854104315333863,0.4721025832859053,marsh_tidalflat,China
100.0,Rhodotorula mucilaginosa,28,-0.015507562711875018,2.565330037185088,0.5589091256456463,marsh_tidalflat,China
101.0,Rhodotorula sphaerocarpa,9,-0.017273718298923046,2.170064761451786,0.10344805502566486,marsh_tidalflat,China
102.0,Rhodotorula paludigena,7,-0.00924114794575142,2.2690626561945697,0.297799440990797,marsh_tidalflat,China
103.0,Rhodotorula paludigena,7,-0.018101903899788992,2.6754487038198462,0.6572070318866577,marsh_tidalflat,China
104.0,Rhodotorula mucilaginosa,28,-0.024535784827708098,2.6720689490673273,0.5726010048676333,marsh_tidalflat,China
105.0,Rhodotorula toruloides,20,-0.027810536634328552,2.7252234688096206,0.5601446004229619,marsh_tidalflat,China
106.0,Rhodotorula mucilaginosa,28,-0.04464422238267912,2.784723607621168,0.8586826324680016,marsh_tidalflat,China
107.0,Rhodotorula mucilaginosa,28,-0.010320477357141544,2.4277307262434813,0.36589250455042543,,China
108.0,Rhodotorula mucilaginosa,28,-0.0391698953365825,2.689230225332153,0.809622248792813,marsh_tidalflat,China
109.0,Rhodotorula mucilaginosa,28,-0.021941773960874076,2.596256758710319,0.4660290946372181,marsh_tidalflat,China
110.0,Rhodotorula sp. clade I,17,-0.0053490561044361356,2.1448661002094216,0.008500527859608033,marsh_tidalflat,China
111.0,Rhodotorula diobovata,27,-0.02546343818399667,2.6375710038241036,0.6323093818813065,marsh_tidalflat,China
